brand;type;build_year;hp;price
Toyota;Corolla;2018;132;6200000
BMW;320i;2020;184;10500000
Ford;Mustang;2019;450;18500000
Skoda;Octavia;2021;150;9200000
Audi;A4;2017;190;8900000
Mercedes;C200;2022;204;15900000
Volkswagen;Golf;2016;110;5400000
Honda;Civic;2020;182;8700000
Ford;Focus;2018;125;6100000
BMW;M3;2021;510;28500000
Toyota;Yaris;2022;116;7500000
Audi;A6;2019;245;14200000
Mercedes;A180;2020;136;10800000
Volkswagen;Passat;2018;150;7900000
Honda;CR-V;2021;193;12800000
Skoda;Superb;2019;190;10300000
Ford;Fiesta;2015;100;3900000
Toyota;Supra;2021;340;19600000
BMW;X5;2022;286;24900000
Audi;Q5;2020;252;17800000
